Sp;MV;(B - V)0;(U - B)0;Ð¢eff;BC;Mbol
O5;-5,8;-0,35;-1,15;40000,00;-4,0; -10
B0;-4,1;-0,31;-1,06;28000,00;-2,8;-6,8
B5;-1,1;-0,16;-0,55;15500,00;-1,5;-2,6
A0;0,70;  0,00;-0,02;  9 900;-0,40;0,10
A5;2,00;0,13;0,10;  8 500;-0,12;1,70
F0;2,60;0,27;0,07;  7 400;-0,06;2,60
F5;3,40;0,42;0,03;  6 580;  0,00;3,40
G0;4,40;0,58;0,05;  6 030;-0,03;4,30
G5;5,10;0,70;0,19;  5 520;-0,07;5,00
K0;5,90;0,89;0,47;  4 900;-0,19;5,80
K5;7,30;1,18;1,10;  4 130;-0,60;6,70
M0;9,00;1,45;1,28;  3 480;-1,19;7,80
M5;11,80;1,63;1,20;  2 800;-2,3;9,80
